Category: All categories

Region,Hamburger: (2/1/24 - 2/28/25),Milkshake: (2/1/24 - 2/28/25),Breakup: (2/1/24 - 2/28/25)
South Dakota,76%,14%,10%
Oklahoma,69%,19%,12%
North Dakota,70%,18%,12%
Nebraska,70%,18%,12%
Montana,73%,15%,12%
Iowa,70%,17%,13%
Hawaii,73%,14%,13%
Missouri,68%,19%,13%
Tennessee,65%,22%,13%
South Carolina,66%,23%,11%
Utah,66%,21%,13%
Alaska,72%,15%,13%
Idaho,67%,19%,14%
Kansas,67%,19%,14%
Mississippi,68%,20%,12%
Nevada,65%,21%,14%
Arkansas,66%,22%,12%
Minnesota,68%,17%,15%
Wyoming,70%,17%,13%
Oregon,68%,18%,14%
Wisconsin,66%,21%,13%
Michigan,66%,20%,14%
Kentucky,64%,23%,13%
Colorado,68%,18%,14%
Arizona,66%,21%,13%
Texas,65%,22%,13%
Maine,71%,17%,12%
North Carolina,64%,23%,13%
Washington,67%,19%,14%
New Mexico,66%,20%,14%
California,65%,20%,15%
Alabama,64%,24%,12%
Indiana,63%,24%,13%
Louisiana,66%,20%,14%
Georgia,63%,23%,14%
Illinois,63%,23%,14%
Ohio,63%,23%,14%
Connecticut,63%,22%,15%
West Virginia,64%,23%,13%
Vermont,69%,17%,14%
Pennsylvania,62%,23%,15%
Rhode Island,64%,23%,13%
New Hampshire,66%,20%,14%
Florida,63%,23%,14%
Delaware,64%,23%,13%
District of Columbia,68%,16%,16%
Virginia,62%,24%,14%
New York,63%,21%,16%
Maryland,61%,23%,16%
New Jersey,60%,23%,17%
Massachusetts,62%,21%,17%
