month,vendor,monthly_rev
1/1/2014 0:00,Bacardi U.S.A. Inc.,1946353.6
1/1/2014 0:00,Diageo Americas,9100398.22
1/1/2014 0:00,LUXCO,2144272.96
1/1/2014 0:00,Pernod Ricard USA/Austin Nichols,2871163.06
2/1/2014 0:00,Bacardi U.S.A. Inc.,2082644.02
2/1/2014 0:00,Diageo Americas,7803052.9
2/1/2014 0:00,Luxco-Cleveland,90317.74
2/1/2014 0:00,Luxco-St Louis,2543270.12
2/1/2014 0:00,Pernod Ricard USA/Austin Nichols,2776511.86
3/1/2014 0:00,Bacardi U.S.A. Inc.,1949708.92
3/1/2014 0:00,Diageo Americas,8050855.54
3/1/2014 0:00,Luxco-Cleveland,91994.38
3/1/2014 0:00,Luxco-St Louis,2738752.92
3/1/2014 0:00,Pernod Ricard USA/Austin Nichols,3031070.02
4/1/2014 0:00,Bacardi U.S.A. Inc.,2239143.14
4/1/2014 0:00,Diageo Americas,9856869.96
4/1/2014 0:00,Luxco-Cleveland,68726.08
4/1/2014 0:00,Luxco-St Louis,3504623.28
4/1/2014 0:00,Pernod Ricard USA/Austin Nichols,2773230.76
5/1/2014 0:00,Bacardi U.S.A. Inc.,2712852.9
5/1/2014 0:00,Diageo Americas,8484674.72
5/1/2014 0:00,Luxco-Cleveland,80206.18
5/1/2014 0:00,Luxco-St Louis,2866355.2
5/1/2014 0:00,Pernod Ricard USA/Austin Nichols,3189588.96
6/1/2014 0:00,Bacardi U.S.A. Inc.,1363672.46
6/1/2014 0:00,Diageo Americas,5928108.14
6/1/2014 0:00,Luxco-Cleveland,36179.36
6/1/2014 0:00,Luxco-St Louis,1602680.63
6/1/2014 0:00,Pernod Ricard USA/Austin Nichols,1920998.39
7/1/2014 0:00,Bacardi U.S.A. Inc.,1278739.63
7/1/2014 0:00,Diageo Americas,4546267.29
7/1/2014 0:00,Luxco-Cleveland,38517.63
7/1/2014 0:00,Luxco-St Louis,1622210.13
7/1/2014 0:00,Pernod Ricard USA/Austin Nichols,1626225.63
8/1/2014 0:00,Bacardi U.S.A. Inc.,1358841.41
8/1/2014 0:00,Diageo Americas,4032625.79
8/1/2014 0:00,Luxco-Cleveland,33499.72
8/1/2014 0:00,Luxco-St Louis,1515339.46
8/1/2014 0:00,Pernod Ricard USA/Austin Nichols,1765474.67
9/1/2014 0:00,Bacardi U.S.A. Inc.,1297919.84
9/1/2014 0:00,Diageo Americas,5372020.29
9/1/2014 0:00,Luxco-Cleveland,31058.22
9/1/2014 0:00,Luxco-St Louis,1435575.42
9/1/2014 0:00,Pernod Ricard USA/Austin Nichols,1483157.04
10/1/2014 0:00,Bacardi U.S.A. Inc.,1692714.77
10/1/2014 0:00,Diageo Americas,5994368.25
10/1/2014 0:00,Luxco-Cleveland,36285.09
10/1/2014 0:00,Luxco-St Louis,1575160.98
10/1/2014 0:00,Pernod Ricard USA/Austin Nichols,1679354.97
11/1/2014 0:00,Bacardi U.S.A. Inc.,910264.78
11/1/2014 0:00,Diageo Americas,4402654.95
11/1/2014 0:00,Luxco-Cleveland,33689.27
11/1/2014 0:00,Luxco-St Louis,1390481.04
11/1/2014 0:00,Pernod Ricard USA/Austin Nichols,1563466.74
12/1/2014 0:00,"Bacardi U.S.A., Inc.",428896.03
12/1/2014 0:00,Diageo Americas,2240273.84
12/1/2014 0:00,Luxco-Cleveland,16313
12/1/2014 0:00,Luxco-St Louis,562023.67
12/1/2014 0:00,Pernod Ricard USA/Austin Nichols,677579.03
